"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Freddie Freeman","Braves","162","707","23","94","98","10","10.7 %","18.7 %",".196",".358",".309",".388",".505",".378","137","1.3","32.9","-4.3","5.2","5361"
"Max Muncy","Dodgers","137","481","35","75","79","3","16.4 %","27.2 %",".319",".299",".263",".391",".582",".407","162","3.1","39.3","-3.9","5.2","13301"
"Paul Goldschmidt","Diamondbacks","158","690","33","95","83","7","13.0 %","25.1 %",".243",".359",".290",".389",".533",".390","145","2.5","40.0","-12.0","5.1","9218"
"Matt Carpenter","Cardinals","156","677","36","111","81","4","15.1 %","23.3 %",".266",".291",".257",".374",".523",".375","138","1.3","33.0","-6.4","4.9","8090"
"Cody Bellinger","Dodgers","162","632","25","84","76","14","10.9 %","23.9 %",".210",".313",".260",".343",".470",".345","120","4.1","19.8","-4.5","3.6","15998"
"Joey Votto","Reds","145","623","12","67","67","2","17.3 %","16.2 %",".135",".333",".284",".417",".419",".370","131","-3.8","19.6","-5.0","3.5","4314"
"Matt Olson","Athletics","162","660","29","85","84","2","10.6 %","24.7 %",".207",".292",".247",".335",".453",".340","117","-2.2","11.4","-0.5","3.4","14344"
"Jesus Aguilar","Brewers","149","566","35","80","108","0","10.2 %","25.3 %",".264",".309",".274",".352",".539",".374","134","-3.6","19.9","-8.1","3.1","11342"
"Anthony Rizzo","Cubs","153","665","25","74","101","6","10.5 %","12.0 %",".187",".287",".283",".376",".470",".359","125","-5.8","14.9","-8.1","2.9","3473"
"Jose Martinez","Cardinals","152","590","17","64","83","0","8.3 %","17.6 %",".152",".351",".305",".364",".457",".356","125","-1.6","16.6","-12.6","2.3","7996"
"C.J. Cron","Rays","140","560","30","68","74","1","6.6 %","25.9 %",".240",".293",".253",".323",".493",".347","122","-2.0","13.0","-10.6","2.1","12546"
"Brandon Belt","Giants","112","456","14","50","46","4","10.7 %","23.5 %",".160",".311",".253",".342",".414",".327","107","3.2","6.9","-0.9","2.1","10264"
"David Freese","- - -","113","312","11","38","51","0","7.7 %","23.1 %",".175",".360",".296",".359",".471",".357","126","-1.3","8.6","0.7","2.0","9549"
"Luke Voit","- - -","47","161","15","30","36","0","10.6 %","26.7 %",".350",".365",".322",".398",".671",".447","187","0.4","17.1","-3.7","1.9","14811"
"Carlos Santana","Phillies","161","679","24","82","86","2","16.2 %","13.7 %",".186",".231",".229",".352",".414",".333","109","-0.1","7.2","-9.9","1.9","2396"
"Justin Smoak","Blue Jays","147","594","25","67","77","0","14.0 %","26.3 %",".216",".297",".242",".350",".457",".349","121","-7.3","7.9","-11.3","1.7","9054"
"Steve Pearce","- - -","76","251","11","35","42","0","11.6 %","16.3 %",".228",".303",".284",".378",".512",".382","140","1.2","13.3","-6.3","1.6","9957"
"Tyler White","Astros","66","237","12","27","42","0","10.1 %","20.7 %",".257",".307",".276",".354",".533",".377","144","0.1","12.6","-5.5","1.5","15564"
"Ryan Zimmerman","Nationals","85","323","13","33","51","1","9.3 %","17.0 %",".222",".284",".264",".337",".486",".351","118","-0.6","6.7","-3.7","1.4","4220"
"Jose Abreu","White Sox","128","553","22","68","78","2","6.7 %","19.7 %",".208",".294",".265",".325",".473",".337","114","-1.5","8.0","-14.7","1.2","15676"
"Yuli Gurriel","Astros","136","573","13","70","85","5","4.0 %","11.0 %",".138",".306",".291",".323",".428",".323","107","-3.1","2.0","-9.5","1.2","19198"
"Niko Goodrum","Tigers","131","492","16","55","53","12","8.5 %","26.8 %",".187",".312",".245",".315",".432",".322","103","2.7","4.2","-9.6","1.1","12092"
"Miguel Rojas","Marlins","153","528","11","44","53","6","4.5 %","13.1 %",".094",".272",".252",".297",".346",".282","79","-5.1","-18.9","12.2","1.0","7802"
"Joe Mauer","Twins","127","543","6","64","48","0","9.4 %","15.8 %",".097",".330",".282",".351",".379",".319","98","-0.2","-1.2","-7.3","1.0","1857"
"Eric Thames","Brewers","96","278","16","41","37","7","10.4 %","34.9 %",".259",".284",".219",".306",".478",".330","105","1.8","3.3","-3.4","0.9","3711"
"Josh Bell","Pirates","148","583","12","74","62","2","13.2 %","17.8 %",".150",".305",".261",".357",".411",".336","112","-3.3","5.0","-14.8","0.9","13145"
"Matt Davidson","White Sox","126","496","20","51","62","0","10.5 %","33.3 %",".191",".313",".228",".319",".419",".321","104","-2.2","0.1","-8.4","0.8","7226"
"Ryan O'Hearn","Royals","44","170","12","23","30","0","11.8 %","26.5 %",".336",".293",".262",".353",".597",".398","153","-1.7","9.2","-6.9","0.8","16442"
"Matt Adams","- - -","121","337","21","42","57","0","8.0 %","21.7 %",".239",".245",".239",".309",".477",".334","107","-1.7","1.4","-4.6","0.8","9393"
"Yonder Alonso","Indians","145","574","23","64","83","0","8.9 %","21.4 %",".171",".283",".250",".317",".421",".319","97","-0.9","-3.2","-8.6","0.7","2530"
"Miguel Cabrera","Tigers","38","157","3","17","22","0","14.0 %","17.2 %",".149",".352",".299",".395",".448",".360","128","0.6","5.9","-3.9","0.7","1744"
"Peter O'Brien","Marlins","22","74","4","8","10","0","9.5 %","29.7 %",".258",".341",".273",".338",".530",".366","135","-0.4","2.7","1.2","0.6","13288"
"Mitch Moreland","Red Sox","124","459","15","57","68","2","10.9 %","22.2 %",".188",".288",".245",".325",".433",".325","100","-4.1","-3.8","-5.1","0.6","3086"
"Jake Bauers","Rays","96","388","11","48","48","6","13.9 %","26.8 %",".183",".252",".201",".316",".384",".308","95","2.0","0.0","-6.7","0.6","15194"
"Ronald Guzman","Rangers","123","428","16","46","58","1","7.7 %","28.3 %",".181",".299",".235",".306",".416",".312","88","1.2","-4.7","-4.3","0.5","14388"
"Rowdy Tellez","Blue Jays","23","73","4","10","14","0","2.7 %","28.8 %",".300",".391",".314",".329",".614",".392","151","0.4","4.8","-2.6","0.5","15679"
"Justin Bour","- - -","141","501","20","49","59","2","14.6 %","24.8 %",".177",".270",".227",".341",".404",".324","107","-6.2","-2.0","-9.2","0.5","9744"
"Wilmer Flores","Mets","126","429","11","43","51","0","6.8 %","9.8 %",".150",".269",".267",".319",".417",".316","103","-4.2","-2.8","-6.3","0.5","5827"
