"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Javier Baez","Cubs","160","645","34","101","111","21","4.5 %","25.9 %",".264",".347",".290",".326",".554",".366","131","3.9","28.0","3.6","5.3","12979"
"Whit Merrifield","Royals","158","707","12","88","60","45","8.6 %","16.1 %",".134",".352",".304",".367",".438",".349","120","7.4","24.3","2.9","5.2","11281"
"Jed Lowrie","Athletics","157","680","23","78","99","0","11.5 %","18.8 %",".181",".304",".267",".353",".448",".347","122","0.2","18.4","7.1","4.9","4418"
"Jose Altuve","Astros","137","599","13","84","61","17","9.2 %","13.2 %",".135",".352",".316",".386",".451",".363","135","4.7","29.8","-1.9","4.9","5417"
"Scooter Gennett","Reds","154","638","23","86","92","4","6.6 %","19.6 %",".180",".358",".310",".357",".490",".362","125","0.1","19.9","3.9","4.5","10339"
"Ozzie Albies","Braves","158","684","24","105","72","14","5.3 %","17.0 %",".191",".285",".261",".305",".452",".324","100","5.6","6.0","9.0","3.8","16556"
"Joey Wendle","Rays","139","545","7","62","61","16","6.8 %","17.6 %",".136",".353",".300",".354",".435",".338","116","3.0","13.5","4.9","3.7","13853"
"Ben Zobrist","Cubs","139","520","9","67","58","3","10.6 %","11.5 %",".134",".331",".305",".378",".440",".355","123","0.5","14.9","4.0","3.6","7435"
"Robinson Cano","Mariners","80","348","10","44","50","0","9.2 %","13.5 %",".168",".329",".303",".374",".471",".364","136","1.1","16.0","1.1","2.9","3269"
"Kolten Wong","Cardinals","127","407","9","41","38","6","7.6 %","14.7 %",".139",".275",".249",".332",".388",".314","98","0.3","-0.8","15.0","2.8","12532"
"Jeff McNeil","Mets","63","248","3","35","19","7","5.6 %","9.7 %",".142",".359",".329",".381",".471",".368","137","5.5","16.7","1.9","2.7","15362"
"Asdrubal Cabrera","- - -","147","592","23","68","75","0","6.9 %","20.1 %",".196",".296",".262",".316",".458",".332","111","0.4","8.5","-1.4","2.7","4962"
"Rougned Odor","Rangers","129","535","18","76","63","12","8.0 %","23.7 %",".171",".305",".253",".326",".424",".325","97","0.1","-1.8","8.5","2.5","12282"
"Ketel Marte","Diamondbacks","153","580","14","68","59","6","9.3 %","13.6 %",".177",".282",".260",".332",".437",".330","104","-1.0","2.1","3.7","2.5","13613"
"Daniel Robertson","Rays","88","340","9","46","34","2","12.6 %","22.6 %",".152",".328",".262",".382",".415",".354","127","0.7","11.8","0.3","2.4","14145"
"Starlin Castro","Marlins","154","647","12","76","54","6","7.4 %","19.2 %",".121",".330",".278",".329",".400",".315","101","-1.7","-0.7","2.8","2.3","4579"
"Ian Kinsler","- - -","128","534","14","66","48","16","7.5 %","12.0 %",".140",".250",".240",".301",".380",".298","87","0.8","-7.3","11.6","2.3","6195"
"Cesar Hernandez","Phillies","161","708","15","91","60","19","13.4 %","21.9 %",".109",".315",".253",".356",".362",".320","100","0.1","0.2","-0.9","2.2","10556"
"Jason Kipnis","Indians","147","601","18","65","75","7","10.0 %","18.6 %",".158",".258",".230",".315",".389",".308","89","2.5","-5.0","5.3","2.1","9776"
"DJ LeMahieu","Rockies","128","581","15","90","62","6","6.4 %","14.1 %",".152",".298",".276",".321",".428",".322","86","-1.6","-11.5","12.9","2.0","9874"
"Yoan Moncada","White Sox","149","650","17","73","61","12","10.3 %","33.4 %",".164",".344",".235",".315",".400",".311","97","2.2","-0.3","-1.5","2.0","17232"
"Jonathan Villar","- - -","141","515","14","54","46","35","8.0 %","26.8 %",".124",".339",".260",".325",".384",".312","94","3.3","-0.5","3.6","2.0","10071"
"David Fletcher","Angels","80","307","1","35","25","3","4.9 %","11.1 %",".088",".307",".275",".316",".363",".297","89","2.0","-2.1","10.8","1.9","17992"
"Gleyber Torres","Yankees","123","484","24","54","77","6","8.7 %","25.2 %",".209",".321",".271",".340",".480",".349","120","-1.0","10.6","-7.9","1.9","16997"
"Adam Frazier","Pirates","113","352","10","52","35","1","8.2 %","15.1 %",".179",".305",".277",".342",".456",".343","116","0.2","7.2","0.0","1.9","15223"
"Daniel Descalso","Diamondbacks","138","423","13","54","57","0","15.1 %","26.0 %",".198",".300",".238",".353",".436",".341","111","2.2","8.2","-5.8","1.6","8392"
"Brock Holt","Red Sox","109","367","7","41","46","7","10.1 %","19.9 %",".134",".337",".277",".362",".411",".338","109","-4.8","-0.7","2.3","1.4","9345"
"Niko Goodrum","Tigers","131","492","16","55","53","12","8.5 %","26.8 %",".187",".312",".245",".315",".432",".322","103","2.7","4.2","-9.6","1.1","12092"
"Brandon Lowe","Rays","43","148","6","16","25","2","10.8 %","25.7 %",".217",".279",".233",".324",".450",".334","113","0.4","2.8","0.5","0.8","18882"
"Daniel Murphy","- - -","91","351","12","40","42","3","5.7 %","11.4 %",".155",".308",".299",".336",".454",".338","110","-1.4","3.0","-6.2","0.8","4316"
