"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jose Ramirez","Indians","157","698","39","110","105","34","15.2 %","11.5 %",".282",".252",".270",".387",".552",".391","146","12.0","50.6","4.6","8.0","13510"
"Alex Bregman","Astros","157","705","31","105","103","10","13.6 %","12.1 %",".246",".289",".286",".394",".532",".396","157","3.4","51.4","-0.6","7.6","17678"
"Matt Chapman","Athletics","145","616","24","100","68","1","9.4 %","23.7 %",".230",".338",".278",".356",".508",".369","137","2.6","30.1","13.1","6.5","16505"
"Anthony Rendon","Nationals","136","597","24","88","92","2","9.2 %","13.7 %",".227",".323",".308",".374",".535",".383","140","5.1","34.0","7.9","6.2","12861"
"Nolan Arenado","Rockies","156","673","38","104","110","2","10.8 %","18.1 %",".264",".314",".297",".374",".561",".391","132","0.0","26.0","7.9","5.7","9777"
"Max Muncy","Dodgers","137","481","35","75","79","3","16.4 %","27.2 %",".319",".299",".263",".391",".582",".407","162","3.1","39.3","-3.9","5.2","13301"
"Matt Carpenter","Cardinals","156","677","36","111","81","4","15.1 %","23.3 %",".266",".291",".257",".374",".523",".375","138","1.3","33.0","-6.4","4.9","8090"
"Justin Turner","Dodgers","103","426","14","62","52","2","11.0 %","12.7 %",".205",".334",".312",".406",".518",".396","154","0.0","28.2","-0.9","4.2","5235"
"Eugenio Suarez","Reds","143","606","34","79","104","1","10.6 %","23.4 %",".243",".322",".283",".366",".526",".376","135","-4.1","22.0","-2.9","3.9","12552"
"Travis Shaw","Brewers","152","587","32","73","86","5","13.3 %","18.4 %",".239",".242",".241",".345",".480",".351","119","0.6","13.9","2.5","3.6","11982"
"Eduardo Escobar","- - -","151","631","23","75","84","2","8.2 %","20.0 %",".217",".308",".272",".334",".489",".346","117","-1.4","11.0","2.1","3.5","6153"
"Brian Anderson","Marlins","156","670","11","87","65","2","9.3 %","19.3 %",".127",".332",".273",".357",".400",".333","113","-0.6","10.1","2.1","3.4","18289"
"Johan Camargo","Braves","134","524","19","63","76","1","9.7 %","20.6 %",".185",".315",".272",".349",".457",".346","115","-2.8","7.1","8.2","3.3","14950"
"Jurickson Profar","Rangers","146","594","20","82","77","10","9.1 %","14.8 %",".204",".269",".254",".335",".458",".341","108","4.0","9.9","-1.4","2.9","10815"
"Miguel Andujar","Yankees","149","606","27","83","92","2","4.1 %","16.0 %",".230",".316",".297",".328",".527",".361","128","1.0","21.3","-15.5","2.7","15878"
"Jeimer Candelario","Tigers","144","619","19","78","54","3","10.7 %","25.8 %",".169",".279",".224",".317",".393",".311","95","2.8","-1.1","5.2","2.5","13621"
"Mike Moustakas","- - -","152","635","28","66","95","4","7.7 %","16.2 %",".208",".259",".251",".315",".459",".329","105","-1.9","2.1","1.0","2.4","4892"
"Matt Duffy","Rays","132","560","4","59","44","12","8.4 %","16.6 %",".072",".353",".294",".361",".366",".323","106","-3.8","0.3","4.9","2.4","13836"
"Kris Bryant","Cubs","102","457","13","59","52","2","10.5 %","23.4 %",".188",".342",".272",".374",".460",".359","125","-0.6","13.6","-5.3","2.3","15429"
"David Freese","- - -","113","312","11","38","51","0","7.7 %","23.1 %",".175",".360",".296",".359",".471",".357","126","-1.3","8.6","0.7","2.0","9549"
"David Fletcher","Angels","80","307","1","35","25","3","4.9 %","11.1 %",".088",".307",".275",".316",".363",".297","89","2.0","-2.1","10.8","1.9","17992"
"Yolmer Sanchez","White Sox","155","662","8","62","55","14","7.4 %","20.8 %",".130",".300",".242",".306",".372",".297","87","0.1","-10.3","5.3","1.7","11602"
"Kyle Seager","Mariners","155","630","22","62","78","2","6.0 %","21.9 %",".178",".251",".221",".273",".400",".288","84","-2.0","-13.9","8.8","1.6","9785"
"Aledmys Diaz","Blue Jays","130","452","18","55","55","3","5.1 %","13.7 %",".190",".269",".263",".303",".453",".321","102","-3.2","-2.0","2.7","1.6","15937"
"Daniel Descalso","Diamondbacks","138","423","13","54","57","0","15.1 %","26.0 %",".198",".300",".238",".353",".436",".341","111","2.2","8.2","-5.8","1.6","8392"
"Wil Myers","Padres","83","343","11","39","39","13","8.7 %","27.4 %",".192",".327",".253",".318",".446",".328","107","3.7","6.8","-2.4","1.6","10047"
"Todd Frazier","Mets","115","472","18","54","59","9","10.2 %","23.7 %",".176",".241",".213",".303",".390",".302","93","-0.3","-4.4","3.9","1.5","785"
"Jedd Gyorko","Cardinals","125","402","11","49","47","2","10.9 %","19.2 %",".154",".303",".262",".346",".416",".333","110","-3.8","1.1","0.1","1.4","10816"
"Josh Donaldson","- - -","52","219","8","30","23","2","14.2 %","24.7 %",".203",".302",".246",".352",".449",".345","117","0.2","4.7","0.4","1.3","5038"
"Renato Nunez","- - -","73","261","8","28","22","0","7.3 %","23.8 %",".161",".315",".258",".322",".419",".322","101","-2.3","-1.9","5.2","1.2","14503"
"Christian Villanueva","Padres","110","384","20","42","46","3","6.0 %","27.1 %",".214",".276",".236",".299",".450",".323","104","-1.0","0.9","-1.3","1.2","11738"
"Maikel Franco","Phillies","131","465","22","48","68","1","6.2 %","13.3 %",".196",".270",".270",".314",".467",".328","105","-2.9","0.2","-3.4","1.2","12179"
"Adrian Beltre","Rangers","119","481","15","49","65","1","7.1 %","20.0 %",".162",".312",".273",".328",".434",".327","99","-2.2","-3.0","-1.6","1.2","639"
"David Bote","Cubs","74","210","6","23","33","3","9.0 %","28.6 %",".168",".314",".239",".319",".408",".314","95","-0.4","-1.6","5.0","1.0","14593"
"Rafael Devers","Red Sox","121","490","21","59","66","5","7.8 %","24.7 %",".193",".281",".240",".298",".433",".310","90","2.2","-3.7","-3.0","1.0","17350"
"Colin Moran","Pirates","144","465","11","49","58","0","8.4 %","17.6 %",".130",".316",".277",".340",".407",".322","103","-4.0","-2.4","-5.3","0.7","16909"
"Cory Spangenberg","Padres","116","329","7","35","25","6","7.6 %","32.8 %",".128",".344",".235",".298",".362",".290","83","2.4","-4.6","0.4","0.6","12294"
"Evan Longoria","Giants","125","512","16","51","54","3","4.3 %","19.7 %",".169",".274",".244",".281",".413",".295","85","-0.2","-9.3","-2.6","0.4","9368"
"Ronald Torreyes","Yankees","41","102","0","9","7","0","2.0 %","15.7 %",".090",".333",".280",".294",".370",".287","78","0.5","-2.2","3.0","0.4","11400"
"Patrick Wisdom","Cardinals","32","58","4","11","10","2","10.3 %","32.8 %",".260",".333",".260",".362",".520",".379","141","0.9","3.7","-1.6","0.4","13602"
"Zack Cozart","Angels","58","253","5","29","18","0","7.5 %","16.6 %",".143",".244",".219",".296",".362",".289","84","0.6","-4.4","-0.6","0.3","2616"
"J.P. Crawford","Phillies","49","138","3","17","12","2","9.4 %","26.8 %",".179",".286",".214",".319",".393",".313","96","0.7","0.0","-1.3","0.3","15491"
"Jake Lamb","Diamondbacks","56","238","6","34","31","1","10.9 %","27.3 %",".126",".286",".222",".307",".348",".290","78","0.2","-6.3","1.5","0.3","13329"
"Andrew Velazquez","Rays","13","12","0","3","0","1","8.3 %","25.0 %",".100",".429",".300",".417",".400",".368","137","0.9","1.4","0.6","0.2","14196"
"Tommy La Stella","Cubs","123","192","1","23","19","0","8.9 %","14.1 %",".065",".312",".266",".340",".331",".300","86","-0.5","-3.7","0.0","0.2","12371"
"Ryder Jones","Giants","5","8","2","2","3","0","0.0 %","62.5 %",".750","1.000",".375",".375","1.125",".618","301","0.0","2.0","0.0","0.2","15982"
"Yandy Diaz","Indians","39","120","1","15","15","0","9.2 %","15.8 %",".110",".371",".312",".375",".422",".346","115","-1.2","1.0","-2.9","0.2","16578"
"Christian Arroyo","Rays","20","59","1","5","6","0","10.2 %","27.1 %",".132",".361",".264",".339",".396",".323","106","0.0","0.4","-0.3","0.2","16434"
"Erik Gonzalez","Indians","81","143","1","17","16","3","3.5 %","23.8 %",".110",".347",".265",".301",".375",".294","80","1.1","-2.3","-0.7","0.2","13369"
"Kyle Farmer","Dodgers","39","77","0","1","9","0","6.5 %","19.5 %",".088",".296",".235",".312",".324",".278","76","-0.2","-2.5","1.6","0.2","14813"
"Chase d'Arnaud","Giants","42","100","3","9","9","2","4.0 %","37.0 %",".151",".315",".215",".253",".366",".266","66","0.4","-3.7","1.9","0.1","6652"
"Ryan Schimpf","Angels","5","7","1","2","2","0","28.6 %","42.9 %",".600",".000",".200",".429",".800",".487","219","0.1","1.1","0.0","0.1","9953"
"Taylor Ward","Angels","40","147","6","14","15","2","6.1 %","30.6 %",".156",".214",".178",".245",".333",".255","60","0.8","-6.2","2.5","0.1","17548"
"Pablo Sandoval","Giants","92","252","9","22","40","0","7.5 %","20.6 %",".170",".282",".248",".310",".417",".312","97","-1.8","-2.7","-4.2","0.1","5409"
"Miguel Sano","Twins","71","299","13","32","41","0","10.4 %","38.5 %",".199",".286",".199",".281",".398",".295","82","-0.3","-6.8","-2.8","0.0","12164"
"Giovanny Urshela","Blue Jays","19","46","1","7","3","0","4.3 %","21.7 %",".093",".281",".233",".283",".326",".270","67","0.3","-1.5","0.2","0.0","10681"
"Zach Vincej","Mariners","1","4","0","0","1","0","0.0 %","25.0 %",".000",".667",".500",".500",".500",".440","188","0.0","0.4","-0.3","0.0","13269"
"Trevor Plouffe","Phillies","7","12","1","1","3","0","0.0 %","50.0 %",".250",".400",".250",".250",".500",".316","97","0.1","0.1","-0.3","0.0","7462"
"Isiah Kiner-Falefa","Rangers","111","396","4","43","34","7","7.1 %","15.7 %",".096",".306",".261",".325",".357",".301","81","-1.2","-10.2","-2.8","0.0","16512"
"Ryan McMahon","Rockies","91","202","5","17","19","1","8.9 %","31.7 %",".144",".327",".232",".307",".376",".296","68","1.6","-6.2","-0.1","0.0","15112"
"David Wright","Mets","2","3","0","0","0","0","33.3 %","0.0 %",".000",".000",".000",".333",".000",".230","45","0.0","-0.2","0.1","0.0","3787"
"Brandon Snyder","Rays","2","6","0","0","0","0","0.0 %","33.3 %",".167",".250",".167",".167",".333",".208","28","0.0","-0.5","0.2","0.0","9856"
"Jung Ho Kang","Pirates","3","6","0","0","0","0","0.0 %","16.7 %",".000",".400",".333",".333",".333",".293","83","-0.1","-0.2","-0.1","0.0","17182"
"Nolan Fontana","Angels","8","12","1","1","1","0","8.3 %","50.0 %",".273",".000",".091",".167",".364",".227","41","0.1","-0.8","0.2","0.0","13267"
"Rio Ruiz","Braves","14","15","0","1","0","0","13.3 %","33.3 %",".000",".143",".083",".267",".083",".199","17","0.4","-1.1","0.5","0.0","14103"
"Adrian Sanchez","Nationals","28","59","0","8","3","0","1.7 %","13.6 %",".069",".320",".276",".288",".345",".275","67","1.1","-1.3","-0.8","0.0","11338"
"Darnell Sweeney","Blue Jays","2","4","0","0","0","0","50.0 %","0.0 %",".000",".000",".000",".500",".000",".345","118","-0.3","-0.2","-0.1","0.0","13284"
"Ildemaro Vargas","Diamondbacks","14","20","1","2","4","1","5.0 %","20.0 %",".158",".214",".211",".250",".368",".268","63","0.1","-0.8","-0.1","0.0","13324"
"Alex Blandino","Reds","69","147","1","14","8","0","8.8 %","27.9 %",".055",".337",".234",".324",".289",".279","70","-0.3","-5.7","0.2","-0.1","16271"
"Gordon Beckham","Mariners","22","50","0","3","1","1","8.0 %","22.0 %",".023",".242",".182",".250",".205",".212","32","0.4","-3.7","1.1","-0.1","9015"
"Phil Gosselin","Reds","20","28","1","5","2","0","14.3 %","28.6 %",".125",".133",".125",".250",".250",".217","29","0.1","-2.3","0.5","-0.1","10953"
"Matt Reynolds","Nationals","12","14","0","1","1","0","7.1 %","28.6 %",".000",".222",".154",".214",".154",".175","1","0.0","-1.7","0.2","-0.1","13788"
