"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Francisco Lindor","Indians","158","745","38","129","92","25","9.4 %","14.4 %",".242",".279",".277",".352",".519",".368","130","1.2","28.3","21.1","7.6","12916"
"Manny Machado","- - -","162","709","37","84","107","14","9.9 %","14.7 %",".241",".304",".297",".367",".538",".377","141","1.2","35.7","2.0","6.2","11493"
"Andrelton Simmons","Angels","146","600","11","68","75","10","5.8 %","7.3 %",".125",".300",".292",".337",".417",".326","109","1.1","7.3","26.1","5.5","10847"
"Javier Baez","Cubs","160","645","34","101","111","21","4.5 %","25.9 %",".264",".347",".290",".326",".554",".366","131","3.9","28.0","3.6","5.3","12979"
"Trevor Story","Rockies","157","656","37","88","108","27","7.2 %","25.6 %",".276",".345",".291",".348",".567",".384","127","1.8","23.5","4.8","5.0","12564"
"Xander Bogaerts","Red Sox","136","580","23","72","103","8","9.5 %","17.6 %",".234",".317",".288",".360",".522",".373","133","-1.7","21.0","7.2","4.9","12161"
"Trea Turner","Nationals","162","740","19","103","73","43","9.3 %","17.8 %",".145",".314",".271",".344",".416",".331","105","8.4","12.9","10.4","4.8","16252"
"Didi Gregorius","Yankees","134","569","27","89","86","10","8.4 %","12.1 %",".226",".259",".268",".335",".494",".350","121","2.3","16.4","9.8","4.6","6012"
"Jean Segura","Mariners","144","632","10","91","63","20","5.1 %","10.9 %",".111",".327",".304",".341",".415",".327","111","0.5","8.5","7.3","3.8","5933"
"Marcus Semien","Athletics","159","703","15","89","70","14","8.7 %","18.6 %",".133",".296",".255",".318",".388",".307","95","1.6","-2.4","15.6","3.7","12533"
"Paul DeJong","Cardinals","115","490","19","68","68","1","7.3 %","25.1 %",".193",".288",".241",".313",".433",".321","102","2.7","3.9","12.3","3.3","18015"
"Chris Taylor","Dodgers","155","604","17","85","63","9","9.1 %","29.5 %",".190",".345",".254",".331",".444",".335","113","4.4","14.2","-3.2","3.1","13757"
"Jurickson Profar","Rangers","146","594","20","82","77","10","9.1 %","14.8 %",".204",".269",".254",".335",".458",".341","108","4.0","9.9","-1.4","2.9","10815"
"Adalberto Mondesi","Royals","75","291","14","47","37","32","3.8 %","26.5 %",".222",".335",".276",".306",".498",".341","114","5.1","10.0","7.7","2.8","13769"
"Jose Peraza","Reds","157","683","14","85","58","23","4.2 %","11.0 %",".128",".307",".288",".326",".416",".319","97","3.8","1.2","3.2","2.7","13593"
"Jose Iglesias","Tigers","125","464","5","43","48","15","4.1 %","10.1 %",".120",".291",".269",".310",".389",".304","90","1.3","-4.2","13.6","2.5","10231"
"Daniel Robertson","Rays","88","340","9","46","34","2","12.6 %","22.6 %",".152",".328",".262",".382",".415",".354","127","0.7","11.8","0.3","2.4","14145"
"Tim Anderson","White Sox","153","606","20","77","64","26","5.0 %","24.6 %",".166",".289",".240",".281",".406",".294","85","2.8","-7.9","7.2","2.0","15172"
